31/05/2024;06:23:46;IN;496;22;;;;;;;;;
31/05/2024;06:24:13;OUT;496;22;;;;;;;;;
31/05/2024;06:24:34;IN;496;22;;11;12;13;14;21;22;23;24
31/05/2024;06:26:03;OUT;496;22;;0;0;0;0;36;10;6;0
31/05/2024;06:26:08;IN;496;22;;;;;;;;;
31/05/2024;06:26:16;OUT;496;22;;0;0;0;0;36;10;6;0
31/05/2024;06:26:27;IN;496;22;;;;;;;;;
31/05/2024;06:26:33;OUT;496;22;;;;;;;;;
31/05/2024;06:26:46;IN;496;22;;;;;;;;;
31/05/2024;06:26:59;OUT;496;22;;;;;;;;;
31/05/2024;06:29:27;IN;496;21;;;;;;;;;
31/05/2024;06:29:33;OUT;496;21;;;;;;;;;
31/05/2024;06:53:02;IN;496;21;;;;;;;;;
31/05/2024;06:53:07;OUT;496;21;;;;;;;;;
31/05/2024;06:53:10;IN;496;21;;;;;;;;;
31/05/2024;06:53:27;OUT;496;21;;;;;;;;;
31/05/2024;06:53:32;IN;496;21;;;;;;;;;
31/05/2024;06:54:04;OUT;496;21;;;;;;;;;
31/05/2024;06:54:28;IN;496;21;;;;;;;;;
31/05/2024;06:54:42;OUT;496;21;;;;;;;;;
31/05/2024;06:54:59;IN;496;21;;;;;;;;;
31/05/2024;06:57:30;OUT;496;21;;;;;;;;;
31/05/2024;06:57:35;IN;496;21;;;;;;;;;
31/05/2024;06:57:50;OUT;496;21;;;;;;;;;
31/05/2024;06:57:53;IN;496;21;;;;;;;;;
31/05/2024;06:58:46;OUT;496;21;;;;;;;;;
31/05/2024;06:58:48;IN;496;21;;;;;;;;;
31/05/2024;06:58:56;OUT;496;21;;;;;;;;;
31/05/2024;06:59:01;IN;496;21;;;;;;;;;
31/05/2024;06:59:06;OUT;496;21;;;;;;;;;
31/05/2024;06:59:08;IN;496;21;;;;;;;;;
31/05/2024;06:59:24;OUT;496;21;;;;;;;;;
31/05/2024;06:59:26;IN;496;21;;;;;;;;;
31/05/2024;06:59:39;OUT;496;21;;;;;;;;;
31/05/2024;06:59:40;IN;496;21;;;;;;;;;
31/05/2024;06:59:48;OUT;496;21;;;;;;;;;
31/05/2024;06:59:54;IN;496;21;;;;;;;;;
31/05/2024;07:00:00;OUT;496;21;;;;;;;;;
31/05/2024;07:00:01;IN;496;21;;;;;;;;;
31/05/2024;07:00:12;OUT;496;21;;;;;;;;;
31/05/2024;07:01:12;IN;496;21;;;;;;;;;
31/05/2024;07:01:22;OUT;496;21;;;;;;;;;
31/05/2024;07:01:24;IN;496;21;;;;;;;;;
31/05/2024;07:01:32;OUT;496;21;;;;;;;;;
31/05/2024;07:01:33;IN;496;21;;;;;;;;;
31/05/2024;07:01:38;OUT;496;21;;;;;;;;;
31/05/2024;08:26:58;IN;642;23;;;;;;;;;
31/05/2024;08:27:47;OUT;642;23;;;;;;;;;
31/05/2024;08:28:02;IN;642;23;;;;;;;;;
31/05/2024;08:28:09;OUT;642;23;;;;;;;;;
31/05/2024;08:28:35;IN;642;23;;;;;;;;;
31/05/2024;08:28:40;OUT;642;23;;;;;;;;;
